PLAYER,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS
Adam Vinatieri,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Phil Dawson,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Sebastian Janikowski*,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Shayne Graham,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Billy Cundiff,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Matt Bryant,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Josh Brown,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Josh Scobee,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Mike Nugent,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Nick Novak*,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Robbie Gould,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Shaun Suisham,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Stephen Gostkowski,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Nick Folk*,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Mason Crosby,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Matt Prater,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Garrett Hartley,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Dan Carpenter,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Connor Barth,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Stephen Hauschka,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Graham Gano,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Ryan Succop,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Dan Bailey,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Kai Forbath,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Greg Zuerlein*,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Blair Walsh,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Randy Bullock,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Giorgio Tavecchio,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Justin Tucker,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Brandon Bogotay,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Caleb Sturgis*,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Dustin Hopkins,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Zach Hocker,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Travis Coons,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Chandler Catanzaro,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Brandon McManus,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Cairo Santos*,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Cody Parkey,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Chris Boswell,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Kasey Redfern*,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Zane Gonzalez,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Harrison Butker,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Younghoe Koo,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Ka'imi Fairbairn,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Nick Rose,** BYE **,--/--,--/--,--/--,--/--,--/--,--
Sam Ficken,** BYE **,--/--,--/--,--/--,--/--,--/--,--
