Chg,"Player
Sort First: 



		Last:",Team,Opp,Rec,Yard,TD,FFPts
,Travis Kelce,KC,LAC,6,80,1,14.0
,Rob Gronkowski,NE,@PIT,5,75,1,13.5
,Evan Engram,NYG,PHI,6,65,1,12.5
,Zach Ertz,PHI,@NYG,6,65,1,12.5
,Hunter Henry,LAC,@KC,5,65,1,12.5
,Delanie Walker,TEN,@SF,6,65,1,12.5
,Vernon Davis,WAS,ARI,5,60,1,12.0
,Jack Doyle,IND,DEN,6,55,1,11.5
,Jimmy Graham,SEA,LAR,5,50,1,11.0
,Jason Witten,DAL,@OAK,5,45,1,10.5
,O.J. Howard,TB,ATL,4,40,1,10.0
,Tyler Kroft,CIN,@MIN,4,40,1,10.0
,Greg Olsen,CAR,GB,3,40,1,10.0
,Austin Seferian-Jenkins,NYJ,@NO,4,30,1,9.0
,Jared Cook,OAK,DAL,4,50,0,5.0
,Garrett Celek,SF,TEN,4,45,0,4.5
,Charles Clay,BUF,MIA,4,40,0,4.0
,Eric Ebron,DET,CHI,4,40,0,4.0
,Ricky Seals-Jones,ARI,@WAS,4,40,0,4.0
,Stephen Anderson,HOU,@JAC,3,30,0,3.0
,Cameron Brate,TB,ATL,3,30,0,3.0
,Jesse James,PIT,NE,3,30,0,3.0
,David Njoku,CLE,BAL,2,30,0,3.0
,Dion Sims,CHI,@DET,3,30,0,3.0
,Ben Watson,BAL,@CLE,3,30,0,3.0
,Austin Hooper,ATL,@TB,2,25,0,2.5
,Julius Thomas,MIA,@BUF,2,25,0,2.5
,Dwayne Allen,NE,@PIT,2,20,0,2.0
,Virgil Green,DEN,@IND,2,20,0,2.0
,Josh Hill,NO,NYJ,2,20,0,2.0
,Marcedes Lewis,JAC,HOU,2,20,0,2.0
,David Morgan,MIN,CIN,2,20,0,2.0
,Richard Rodgers,GB,@CAR,2,20,0,2.0
,Kyle Rudolph,MIN,CIN,2,20,0,2.0
,Seth Devalve,CLE,BAL,1,15,0,1.5
,Ed Dickson,CAR,GB,1,15,0,1.5
,Gerald Everett,LAR,@SEA,1,15,0,1.5
,Tyler Higbee,LAR,@SEA,1,15,0,1.5
,Trey Burton,PHI,@NYG,1,10,0,1.0
,Brent Celek,PHI,@NYG,1,10,0,1.0
,Antonio Gates,LAC,@KC,1,10,0,1.0
,MarQueis Gray,MIA,@BUF,1,10,0,1.0
,Lance Kendricks,GB,@CAR,1,10,0,1.0
,George Kittle,SF,TEN,1,10,0,1.0
