PLAYER,,OPP,STATUS ET,,1-39,40-49,50+,TOT,XP,,PTS
Chris Boswell,,Bal,W 39-38,,1/1,2/2,1/1,4/4,3/3,,19
Robbie Gould,,@Hou,W 26-16,,2/2,1/1,1/1,4/4,2/2,,17
Harrison Butker,,Oak,W 26-15,,2/2,1/1,1/1,4/4,2/2,,17
Josh Lambo,,Sea,W 30-24,,2/2,0/0,1/1,3/3,3/3,,14
Jake Elliott,,@LAR,W 43-35,,2/2,1/1,0/0,3/3,4/4,,14
Brandon McManus,,NYJ,W 23-0,,1/2,1/1,1/1,3/4,2/2,,13
Phil Dawson,,Ten,W 12-7,,3/3,1/2,0/0,4/5,0/0,,12
Travis Coons,,Wsh,W 30-13,,3/3,0/0,0/0,3/3,3/3,,12
Matt Bryant,,NO,W 20-17,,1/1,0/0,1/1,2/2,2/2,,10
Cody Parkey,,NE,W 27-20,,1/1,1/1,0/0,2/2,3/3,,10
Mike Nugent,,@Cin,W 33-7,,2/2,0/0,0/0,2/2,3/4,,9
Stephen Gostkowski,,@Mia,L 20-27,,1/1,1/1,0/0,2/2,2/2,,9
Kai Forbath,,@Car,L 24-31,,3/3,0/0,0/1,3/4,1/1,,9
Justin Tucker,,@Pit,L 38-39,,0/0,1/1,0/0,1/1,5/5,,9
Graham Gano,,Min,W 31-24,,0/0,1/1,0/0,1/1,4/4,,8
Matt Prater,,@TB,W 24-21,,0/0,1/1,0/0,1/1,3/3,,7
Greg Zuerlein*,,Phi,L 35-43,,0/0,0/0,0/0,0/0,5/5,,5
Blair Walsh,,@Jax,L 24-30,,1/2,0/0,0/0,1/2,3/3,,5
Wil Lutz,,@Atl,L 17-20,,1/1,0/0,0/0,1/1,2/2,,5
Ka'imi Fairbairn,,SF,L 16-26,,0/0,0/0,1/2,1/2,1/2,,5
Dan Bailey,,@NYG,W 30-10,,1/1,0/0,0/2,1/3,3/4,,4
Aldrick Rosas,,Dal,L 10-30,,1/1,0/0,0/0,1/1,1/1,,4
Mason Crosby,,@Cle,W 27-21,,0/0,0/0,0/0,0/0,3/3,,3
Patrick Murray,,Det,L 21-24,,0/0,0/0,0/0,0/0,3/3,,3
Zane Gonzalez,,GB,L 21-27,,0/0,0/0,0/0,0/0,3/3,,3
Stephen Hauschka,,Ind,W 13-7,,0/0,0/0,0/0,0/0,1/1,,1
Randy Bullock,,Chi,L 7-33,,0/0,0/0,0/0,0/0,1/1,,1
Giorgio Tavecchio,,@KC,L 15-26,,0/0,0/0,0/0,0/0,1/1,,1
Nick Rose,,Wsh,W 30-13,,0/0,0/0,0/0,0/0,1/2,,1
Sebastian Janikowski*,,@KC,L 15-26,,0/0,0/0,0/0,0/0,0/0,,0
Shayne Graham,,NO,W 20-17,,0/0,0/0,0/0,0/0,0/0,,0
Billy Cundiff,,GB,L 21-27,,0/0,0/0,0/0,0/0,0/0,,0
Josh Brown,,Dal,L 10-30,,0/0,0/0,0/0,0/0,0/0,,0
Josh Scobee,,@Atl,L 17-20,,0/0,0/0,0/0,0/0,0/0,,0
Nick Novak*,,Wsh,W 30-13,,0/0,0/0,0/0,0/0,0/0,,0
Shaun Suisham,,Bal,W 39-38,,0/0,0/0,0/0,0/0,0/0,,0
Nick Folk*,,Det,L 21-24,,0/0,0/0,0/0,0/0,0/0,,0
Garrett Hartley,,Bal,W 39-38,,0/0,0/0,0/0,0/0,0/0,,0
Dan Carpenter,,Ind,W 13-7,,0/0,0/0,0/0,0/0,0/0,,0
Connor Barth,,@Cin,W 33-7,,0/0,0/0,0/0,0/0,0/0,,0
Ryan Succop,,@Ari,L 7-12,,0/0,0/0,0/1,0/1,1/1,,0
Brandon Bogotay,,Det,L 21-24,,0/0,0/0,0/0,0/0,0/0,,0
Caleb Sturgis*,,@LAR,W 43-35,,0/0,0/0,0/0,0/0,0/0,,0
Dustin Hopkins,,@LAC,L 13-30,,0/0,0/0,0/0,0/0,0/0,,0
Zach Hocker,,Det,L 21-24,,0/0,0/0,0/0,0/0,0/0,,0
Chandler Catanzaro,,@Den,L 0-23,,0/0,0/0,0/0,0/0,0/0,,0
Cairo Santos*,,@Cin,W 33-7,,0/0,0/0,0/0,0/0,0/0,,0
Kasey Redfern*,,@TB,W 24-21,,0/0,0/0,0/0,0/0,0/0,,0
Jordan Gay,,@Ari,L 7-12,,0/0,0/0,0/0,0/0,0/0,,0
Jason Myers,,@Jax,L 24-30,,0/0,0/0,0/0,0/0,0/0,,0
Kyle Brindza,,@Den,L 0-23,,0/0,0/0,0/0,0/0,0/0,,0
Andrew Franks,,NE,W 27-20,,0/0,0/0,0/0,0/0,0/0,,0
Roberto Aguayo,,@Cin,W 33-7,,0/0,0/0,0/0,0/0,0/0,,0
Younghoe Koo,,Wsh,W 30-13,,0/0,0/0,0/0,0/0,0/0,,0
Adam Vinatieri,,@Buf,L 7-13,,0/1,0/1,0/0,0/2,1/1,,-1
Sam Ficken,,Phi,L 35-43,,--/--,--/--,--/--,--/--,--/--,,--
